Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Time to Go: A Mobile App for Navigation and Time Management II;Musil, Jan;;Bach.Th.;Katedra;;;BT-2014-0001;;34;1;2014;Czech Technical University in Prague;Praha;;;;;;;s CD, neobhájeno;;VOLNÁ;;;;;;;;;;
Time to Go: A Mobile App for Navigation and Time Management I;Musil, Jan;;Bach.Th.;Katedra;;;BT-2014-0002;;34;1;2014;Czech Technical University in Prague;Praha;;;;;;;s CD, neobhájeno;;VOLNÁ;;;;;;;;;;
Cooperative formations on highway;Borovec, Ondřej;;Bach.Th.;Katedra;;;BT-2015-0001;;61;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Checkers with Artificial Intelligence;Doležal, Matěj;;Bach.Th.;Katedra;;;BT-2015-0002;;37;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Android aplikace pro plánování cyklistických tras a cyklonavigaci;Linka, Jan;;Bach.Th.;Katedra;;;BT-2015-0003;;47;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Planning of Swarm Deployment for Autonomous Surveillance;Petrlík, Matěj;;Bach.Th.;Katedra;;;BT-2015-0004;;65;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
SW a HW Integration of an IP PTZ camera onto a Mobile Outdoor Robot;Chmel, Jakub;;Bach.Th.;Katedra;;;BT-2015-0005;;41;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Analýza behaviorálních dat nadaných a průměrně nadaných adolescentů;Dvořák, Jakub;;Bach.Th.;Katedra;;;BT-2015-0006;;54;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Motion Control for a Humanoid;Janů, Vojtěch;;Bach.Th.;Katedra;;;BT-2015-0007;;31;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Analýza rozdílů EEG signálu nadaných a průměrně nadaných adolescentů;Bukovský, Petr;;Bach.Th.;Katedra;;;BT-2015-0008;;54;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Web Front-End for Student Data Analysis Application;Václavek, Jonáš;;Bach.Th.;Katedra;;;BT-2015-0009;;41;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Inteligentní heliport pro bezpilotní helikoptéry;Kunte, Ondřej;;Bach.Th.;Katedra;;;BT-2015-0010;;55;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Extension of the Control System for the Magnetic Manipulator with a Non-Flat Surface;Filip, Jan;;Bach.Th.;Katedra;;;BT-2015-0011;;50;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Synchronized Control of Group of Helicopters Using Direct Communication;Fiedler, Jiří;;Bach.Th.;Katedra;;;BT-2015-0012;;62;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;SASKA, MARTIN;;;;;;;;;;
The Use of Symbolic Execution for Testing of Real-Time Safety-Related Software;Hořenovský, Martin;;Bach.Th.;Katedra;;;BT-2015-0013;;32;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Využití GPS záznamů tras pro odhady dojezdových časů v dopravních sítích;Slunečko, Daniel;;Bach.Th.;Katedra;;;BT-2015-0014;;50;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Stackelberg Equilibria in Normal Form Games with Sequential Strategies;Rindt, Eduard;;Bach.Th.;Katedra;;;BT-2015-0015;;36;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Automatic Coloring Book on Touch Devices with OS Android;Steidl, Stanislav;;Bach.Th.;Katedra;;;BT-2015-0016;;49;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Algoritmus pro munerickou integraci Kuzněcovovy rovnice na GPU;Mrňa, Jan;;Bach.Th.;Katedra;;;BT-2015-0017;;44;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Otevření portálu Spolupráce s průmyslem pro více univerzit;Balák, Zdeněk;;Bach.Th.;Katedra;;;BT-2015-0018;;51;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Implementace fúzního obrazu z termokamery pro systém UAV;Kovář, Petr;;Bach.Th.;Katedra;;;BT-2015-0019;;45;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Navigation and Stabilization of Swarms of Micro Aerial Vehicles in Complex Environment;Všetečka, Petr;;Bach.Th.;Katedra;;;BT-2015-0020;;39;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;SASKA, MARTIN;;;;;;;;;;
Convergence of UCT in Games with Imperfect Information;Briedoň, Marián;;Bach.Th.;Katedra;;;BT-2015-0021;;35;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Měření barevných broušených kamenů;Drápela, Jakub;;Bach.Th.;Katedra;;;BT-2015-0022;;38;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Ovládání kolony vozidel ze systému Android pomocí protokolu Zigbee;Dubeň, Alexander;;Bach.Th.;Katedra;;;BT-2015-0023;;49;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Implementace audio-knihovny pro zrakově handicapované uživatele;Rubeš, Lukáš;;Bach.Th.;Katedra;;;BT-2015-0024;;49;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
User Interface and Failure Detection for Support of Multi-MAV Experiments;Klučka, Martin;;Bach.Th.;Katedra;;;BT-2015-0025;;43;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;SASKA, MARTIN;;;;;;;;;;
Lokalizace osob v budově s využitím bezdrátové technologie;Trejbal, Jan;;Bach.Th.;Katedra;;;BT-2015-0026;;29;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Analysis of Scaling in Distributed Control;Konrád, Jakub;;Bach.Th.;Katedra;;;BT-2015-0027;;47;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Využití výsledků projektů realizovaných přes portál Spolupráce s průmyslem;Král, Martin;;Bach.Th.;Katedra;;;BT-2015-0028;;43;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Odhad pohlaví a věku z videa lidské tváře;Krček, Jan;;Bach.Th.;Katedra;;;BT-2015-0029;;22;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
