Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Individual Person Counting in Semi-Crowded Environment;Šarbortová, Hana;;Dip.Th.;Katedra;;;DT-2015-0001;;115;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Relationship of Heart's Pumping Function and Pressure-Flow Patterns in Reduced Arterial Tree;Kalecký, Karel;;Dip.Th.;Katedra;;;DT-2015-0002;;59;1;2015;ČVUT Praha - FEL;ČR;;;;;;;vč. CD;;VOLNÁ;;;;;;;;;;
Zpracování Videookulografických Dat se Zaměřením na Detekci Dyslexie;Juklová, Alena;;Dip.Th.;Katedra;;;DT-2015-0003;;52;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Zařízení pro Základní Diagnostiku a Rehabilitaci Pohybového Aparátu Člověka;Vildman, Jiří;;Dip.Th.;Katedra;;;DT-2015-0004;;59;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Využití Principu KLT pro Sledování Cíle Kamerovou Hlavicí;Tejc, Marek;;Dip.Th.;Katedra;;;DT-2015-0005;;35;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Video s Elektronickou Štěrbinovou Závěrkou pro 3D Rekonstrukci;Polic, Michal;;Dip.Th.;Katedra;;;DT-2015-0006;;55;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Safe Obstacle Traversal with Incomplete Data;Mareš, jakub;;Dip.Th.;Katedra;;;DT-2015-0007;;66;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Record, Representation and Use of Electronic Partogram and Cardiotocogram;Stuchlík, Petr;;Dip.Th.;Katedra;;;DT-2015-0008;;97;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Prostorová Lokalizace Nemocničních Lůžek;Lochmann, Jan;;Dip.Th.;Katedra;;;DT-2015-0009;;59;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Predictive Control and Planning Enabling Complex Maneuvers of Formations of Autonomous Helicopters;Jícha, Pavel;;Dip.Th.;Katedra;;;DT-2015-0010;;51;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;SASKA, MARTIN;;;;;;;;;;
Ověření Metodiky Multivariantního Zpracování EEG Záznamu Dětských Pacientů s Vývojovou Dysfázií;Holý, Tomáš;;Dip.Th.;Katedra;;;DT-2015-0011;;43;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor) (neobhájeno);;VOLNÁ;;;;;;;;;;
Online Face Recognition in Radiometric Sequence from Thermal Camera;Jeřábek, Jan;;Dip.Th.;Katedra;;;DT-2015-0012;;63;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Obecná Archytektura pro Vývoj Multiplatformních Výukových Aplikací Medicínských Oborů;Tesař, Štěpán;;Dip.Th.;Katedra;;;DT-2015-0013;;139;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Návrh a realizace Zařízení pro Multikanálové Měření Biologickývh Signálů;Petras, Jan;;Dip.Th.;Katedra;;;DT-2015-0014;;42;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor) (neobhájeno);;VOLNÁ;;;;;;;;;;
Muscle Tension Analysis Based Facial Motion Capture;Mramornov, Andrey;;Dip.Th.;Katedra;;;DT-2015-0015;;47;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Motion Capture Using Sum of Gaussians Body Model;Krupka, Tomáš;;Dip.Th.;Katedra;;;DT-2015-0016;;67;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Locomotion Generation for Modular Robots;Prouza, Milan;;Dip.Th.;Katedra;;;DT-2015-0017;;59;;2015;Czech Technical University in Prague;;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Kontaktní Průzkum Terénu pro Mobilního Robota;Šalanský, Vojtěch;;Dip.Th.;Katedra;;;DT-2015-0018;;65;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Implementation and Extension of the Virtual Arc Consistency Algorithm for Weighted Constraint Satisfaction Problem;Bužková, Lucie;;Dip.Th.;Katedra;;;DT-2015-0019;;38;;2015;Czech Technical University in Prague;;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Identity Preservation for Multi-Target Long Term Tracking;Pytela, Jiří;;Dip.Th.;Katedra;;;DT-2015-0020;;47;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Functional MRI of Hypercapnia Data;Vondráčková, Lenka;;Dip.Th.;Katedra;;;DT-2015-0021;;60;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Vyhodnocení využitelnosti protokolu PROFINET v oblasti medicínské techniky;Březinová, Barbora;;Dip.Th.;Katedra;;;DT-2015-0022;;104;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Embedded Module for Image Processing;Čížek, Petr;;Dip.Th.;Katedra;;;DT-2015-0023;;65;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Systém Vizuomotorické Koordinace Humanoidního Robota Bioloid;Plaček, Martin;;Dip.Th.;Katedra;;;DT-2015-0024;;46;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Edukační Aplikace pro Pacienty Trpící Diabetes Mellitus I.;Chroustovský, Daniel;;Dip.Th.;Katedra;;;DT-2015-0025;;75;1;2015;Czech Technical University in Prague;Praha;;;;;;;s CD, neobhajeno;;VOLNÁ;;;;;;;;;;
Detection and Localization of Texture-Less Objects in RGB-D Images;Zedník, Pavel;;Dip.Th.;Katedra;;;DT-2015-0026;;53;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Daily Activity Monitoring Using a Device with Accellerometers;Farkašová, Barbora;;Dip.Th.;Katedra;;;DT-2015-0027;;132;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;VOLNÁ;;;;;;;;;;
Complex Maneuvers of Heterogeneous Formations of Ground and Aerial Robots;Spurný, Vojtěch;;Dip.Th.;Katedra;;;DT-2015-0028;;56;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD (druhý výtisk má autor);;SASKA, MARTIN;;;;;;;;;;
Automatizovaná Analýza Částic v Mikroskopických Snímcích;Palas, Jiří;;Dip.Th.;Katedra;;;DT-2015-0029;;51;;2015;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
