Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Search for Gamma-Ray Burst Optical Counterparts;Soldán, Jan;;Doc.Th.;CMP;;;DocT-1997-0001;;104;;1997;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Corpus Based Natural Language Ambiguity Resolution - pare 2;Štětina, Jiří;;Doc.Th.;Katedra;;;DocT-1997-0002;;135;;1997;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Corpus Based Natural Language Ambiguity Resolution - pare 1;Štětina, Jiří;;Doc.Th.;Katedra;;;DocT-1997-0003;;135;;1997;ČVUT Praha - FEL;Praha;;;;;;;;;VOLNÁ;;;;;;;;;;
Automated Composition of Programs for Visual Inspections - výtisk 2;Krčmář, Martin;;Doc.Th.;CMP;;;DocT-1998-0001;;;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Soft Computing in Hydraulic Modeling and Control;Sládek, Bohumír;;Doc.Th.;Katedra;;;DocT-1998-0002;;178;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Sdružování znalostí pro navigaci mobilního robotu;Král, Luboš;;Doc.Th.;Katedra;;;DocT-1998-0003;;117;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;ŠTĚPÁN, PETR;;;;;;;;;;
Initial Setting of Weights in the Kohonen Maps;Jiřina, Marcel;;Doc.Th.;Katedra;;;DocT-1998-0004;;120;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Fuzzy Modeling and Control;Červinka, Ondřej;;Doc.Th.;Katedra;;;DocT-1998-0005;;190;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Automated Composition of Programs for Visual Inspections - výtisk 1;Krčmář, Martin;;Doc.Th.;Katedra;;;DocT-1998-0006;;;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Advanced Planning Techniques for Project Oriented Production;Pěchouček, Michal;;Doc.Th.;Katedra;;;DocT-1998-0007;;185;;1998;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Uncalibrated 3D Vision: Contributions to Projective Reconstruction and Camera Self-Calibration;Urban, Martin;;Doc.Th.;CMP;;;DocT-1999-0001;;91;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Měření rozměrů CCD kamerou se submikronovou přesnotí;Kraus, Svatopluk;;Doc.Th.;CMP;;;DocT-1999-0002;;295;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Central Panoramic Cameras Design, Geometry, Egomotion;Svoboda, Tomáš;;Doc.Th.;CMP;;;DocT-1999-0003;;116;1;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Bezdrátová komprimace obrázků, založená na bitové analýze obrazových dat;Fojtík, Jaroslav;;Doc.Th.;CMP;;;DocT-1999-0004;;116;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Natural Language Processing Applications of Machine Learning;Kazakov, Dimitar;;Doc.Th.;Katedra;;;DocT-1999-0005;;190;;1999;Vydavatelství ČVUT v Praze;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Methods of Probabilistic Knowledge Intergration;Vomlel, Jiří;;Doc.Th.;Katedra;;;DocT-1999-0006;;;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Kompatibilní usměrňovač;Ryba, Jiří;;Doc.Th.;Katedra;;;DocT-1999-0007;;;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Generování staticky stabilní chůze vícenohého robota;Šafář, Martin;;Doc.Th.;Katedra;;;DocT-1999-0008;;165;;1999;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Využití metod umělé inteligence ke zpracování biologických dat a modelování psychologických skupin;Šorf, Milan;;Doc.Th.;Katedra;;;DocT-2000-0001;;96;;2000;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
On Practiacl inductive logic programming;Popelínský,Luboš;;Doc.Th.;Katedra;;;DocT-2000-0002;;123;;2000;ČVUT Praha - FEL;CZ;;;;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Vnitřní reprezentace prostředí pro automnomní mobilní roboty;Štěpán, Petr;;Doc.Th.;Katedra;;;DocT-2001-0001;;;;2001;ČVUT Praha - FEL;CZ;;;;;;;;;VOLNÁ;;;;;;;;;;
Prototype Applications of Instance-Based Reasoning;Kléma Jiří;;Doc.Th.;Katedra;;;DocT-2001-0002;;;;2001;ČVUT Praha - FEL;CZ;;;;;;;;;VOLNÁ;;;;;;;;;;
Stereo Geometry of Non-Central Cameras;Pajdla, T.;;Doc.Th.;Katedra;;;DocT-2002-0001;;130;1;2002;ČVUT Praha - FEL;CZ;;;;;;computer vision, stereo vision, epipolar geometry, reconstruction, mosaics, stereo geometry, non-central cameras, spreads;;;VOLNÁ;;;;;;;;;;
Semantics for Fuzzy Disjunctive Programs;Guller, D.;;Doc.Th.;Katedra;;;DocT-2002-0002;;135;1;2002;;SR;;;;;;;;;VOLNÁ;;;;;;;;;;
Fraktální a multifraktální analýza variability srdečního rytmu v extrémních stavech lidského organismu;Smrčka, Pavel;;Doc.Th.;Katedra;;;DocT-2002-0003;;124;1;2002;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Diagnosis of Cavitation in Centrifugal Pumps;Flek, Ondřej;;Doc.Th.;Katedra;;;DocT-2002-0004;;141;1;2002;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Verifikace a zpřesnění lokálních modelů povrchu pro geometrickou stereorekonstrukci;Zýka, Vít;;Doc.Th.;Katedra;;;DocT-2003-0001;;100;1;2003;ČVUT Praha - FEL;CZ;;;;;;;;;VOLNÁ;;;;;;;;;;
Two Probabilistic Approaches to First-Order Theory Induction;Železný, Filip;;Doc.Th.;Katedra;;;DocT-2003-0002;;161;1;2003;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Incremental Learning of Ensemble Classifiers - 2.;;;Doc.Th.;Katedra;;;DocT-2004-0001;;71;1;2004;Czech Technical University in Prague;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Incremental Learning of Ensemble Classifiers;Macek, Jan;;Doc.Th.;Katedra;;;DocT-2004-0002;;71;1;2004;Czech Technical University in Prague;CZ;;;;;;;do obhajoby nepůjčovat;;VOLNÁ;;;;;;;;;;
Two-view Geometry Estimation by Random Sample and Consensus;Chum, O.;;Doc.Th.;Katedra;;;DocT-2005-0001;;90;1;2005;Czech Technical University in Prague;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Identifikace Psychosomatických stavů operátora;Zavadil, Petr;;Doc.Th.;Katedra;;;DocT-2005-0002;;117;1;2005;Czech Technical University in Prague;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Softcomputing and the Feasibility of Parallelization: Parallel Genetic Algorithms;Zdeněk Konfršt;;Doc.Th.;Katedra;;;DocT-2006-0001;;96;1;2006;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Object Recognition Using Local Affine Frames;Obdržálek, Štěpán;;Doc.Th.;Katedra;;;DocT-2006-0002;;106;1;2006;Czech Technical University in Prague;Praha;;;;;;;bez DVD/CD-ROM;;VOLNÁ;;;;;;;;;;
Non-central Cameras for 3D Reconstruction;Bakstein, Hynek;;Doc.Th.;Katedra;;;DocT-2006-0003;;114;1;2006;Czech Technical University in Prague;Praha;;;;;;;bez DVD/CD-ROM;;VOLNÁ;;;;;;;;;;
Fuzzy kognitivní mapy;Mls, Karel;;Doc.Th.;Katedra;;;DocT-2006-0004;;88;1;2006;ČVUT Praha - FEL;ČR;;;;;;;2ks;;VOLNÁ;;;;;;;;;;
Fuzzy kognitivní mapy;Mls, Karel;;Doc.Th.;Katedra;;;DocT-2006-0005;;93;1;2006;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Translations between Ontologies in Multi-Agent Systems;Obitko, Marek;;Doc.Th.;Katedra;;;DocT-2007-0001;;139;1;2007;Czech Technical University in Prague;Praha;;;;;;;bez DVD/CD-ROM;;VOLNÁ;;;;;;;;;;
Stratified Dense Matching for Stereopsis Complex Scenes;Kostlivá, Jana;;Doc.Th.;Katedra;690799;;DocT-2007-0002;;119;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Parallel Magnetic Resonance Imaging Reconstruction;Petr, Jan;;Doc.Th.;Katedra;;;DocT-2007-0003;;129;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
On the Use of Probabilistic Models and Coordinate Transforms in Evolutionary Algorithms - II.;Pošík, Petr;;Doc.Th.;Katedra;;;DocT-2007-0004;;112;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
On the Use of Probabilistic Models and Coordinate Transforms in Evolutionary Algorithms;Pošík, Petr;;Doc.Th.;Katedra;;;DocT-2007-0005;;112;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
Návrh a aplikace hybridního řídícího systému mobilních robotů na bázi Umělého ivota;Svatoš, Václav;;Doc.Th.;Katedra;;;DocT-2007-0006;;118;1;2007;ČVUT Praha - FEL;ČR;;;;;;;;;VOLNÁ;;;;;;;;;;
