Název;Autor;Spoluautoři;Druh;Deponováno;SystemovéČíslo;EvidenřníČísloFEL;ČísloOddělení;ČárovýKód;Stran;Vydání;Rok;Vydavatel;Země;ISBNorISSN;ČísloČasopisu;RočníkČasopisu;Konference;Cena;KlíčováSlova;Poznámka;Vloženo;Zapůjčeno;ZapůjčenoOd;ZapůjčenoDo;Extra1;Extra1;Extra1;Extra1;Extra1
Kuwait Journal of Science & Engineering - Vol.33;;;časopis;GL;;;GL-02669;;;1. vydání;2006;;Kuwait;1024-8684;2;33;;;;;;volná;;;;;;;;
21. století Vol.3;;;časopis;GL;;;GL-01924;;;1. vydání;2005;RF Hobby;ČR;1214-1097;1, 2, 3, 4,5,6,7,8,9;3;;660,00 Kč;;č.3 - 2x;;Fejtová, Marcela;;;;;;;;
Acta Mechanica Slovaca;;;časopis;GL;;;GL-01994;;388;1. vydání;2005;TU Košice;Slovensko;1335-2393;2-A;9;YBEREC 2005;;;sborník z konf.;;volná;;;;;;;;
21.století Vol.2;;;časopis;GL;;;GL-01939;;;1. vydání;2004;RF Hobby;ČR;1214-1097;1,2,3,4,5,6,7,8,9,10,11,12;2;;513,00 Kč;;;;Fejtová, Marcela;;;;;;;;
21.století Vol.1;;;časopis;GL;;;GL-01938;;;1. vydání;2003;RF Hobby;ČR;1214-1097;5,6,7,8,9,10,11,12;1;;513,00 Kč;;;;Fejtová, Marcela;;;;;;;;
International Journal of The Institute for Advanced Studies In Systems Research and Cybernetics, Vol.2;;;časopis;GL;;;GL-01582;;;1. vydání;2002;The Institute for Advanced Studies In Systems Research and Cybernetics;Canada;1609-8625;2;2;;;;;;volná;;;;;;;;
Psychologie lidské komunikace;Vybíral, Zbyněk;;časopis;GL;;;GL-01252;;264;1. vydání;2000;Portál s.r.o., Praha;CZ;80-7178-291-2;;;;257,00 Kč;;;;volná;;;;;;;;
Tatra Mountains - Mathematical Publications, Vol.13;Mesiar, R. (ed.);Riečan, B.;časopis;GL;;971127;GL-00282;;248;1. vydání;1997;Polygrafia;Slovakia;1210-3195;;13;;560,00 Kč;fuzzy množin;;;volná;;;;;;;;
WSEAS TRANSACTIONS on SYSTEMS;;;časopis;GL;;;GL-01841;;;1. vydání;;WSEAS Press;USA;1109-2777;3/04, 5/05;6;;;;;;volná;;;;;;;;
Scientific American - české vydání;;;časopis;GL;;;GL-01916;;;;;ESPERO Publishing, s.r.o. Ústí nad Labem;CZ;1213-7723;01-06/02,01/03, 01/04, 02/04,09/04, 01/05;;;857,00 Kč;;;;Fejtová, Marcela;;;;;;;;
