Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Analýza pacientů trpící depresí pomocí statistických metod - 2.;Lukešová, Zdeňka;;Book;Katedra;;;;;24;1;2007;ČVUT Praha - FEL;ČR;;;;;;bakal.práce;;;VOLNÁ;;;CD/DVD;;;;;;;
Genetic and Evolutionary Computation Conference 2009;;;Proceeding;Katedra;;03231;KAT-1001;;;1;2009;ACM Press, New York;USA;978-1-60558-325-9;;;GECCO 2009;;;;;VOLNÁ;;;CD/DVD;;;;;;;
An Introduction to Copulas;Nelsen, Roger B.;;Book;Katedra;515251;230846;KAT-1002;BC000515251-000010;216;1;1999;Springer-Verlag;USA;0-387-98623-5;;;;2047,50 Kč;matematická statistika;;;VOLNÁ;;;;;;;;;;
Anatomie 1;Čihák, Radomír;;Book;Katedra;14040;890389;KAT-1003;BC000014040-000030;456;1;1987;Avicenum, zdravotnické nakladatelství;CZ;;;;;85,00 Kč;LÉKAŘSTVÍ;12;;VOLNÁ;;;;;;;;OK;;
Anatomie 2: Splanchnologia;Čihák, Radomír;;Book;Katedra;14041;890810;KAT-1004;BC000014041-000020;387;1;1988;Avicenum, zdravotnické nakladatelství;CZ;;;;;80,00 Kč;LÉKAŘSTVÍ;12;;VOLNÁ;;;;;;;;OK;;
Atlas fyziologie člověka;Silbernagl, Stefan;Despopoulos,Agamemnon;Book;Katedra;100031;940517;KAT-1005;BC000018376-000010;352;2;1993;Grada Publishing;Praha;80-85623-79-X;;;;232,05 Kč;FYZIOLOGIE;;;VOLNÁ;;;;;;;;OK;;
Biochemie 1;Vodrážka, Zdeněk;;Book;Katedra;;950145;KAT-1006;;184;1;1992;Academia,nakladatelství ČAV;CZ;80-200-9439-4;;;;96,00 Kč;lékařství;12;;VOLNÁ;;;;;;;;OK;;
Biochemie 2;Vodrážka, Zdeněk;;Book;Katedra;19412;950146;KAT-1007;BC000019412-000010;135;1;1992;Academia,nakladatelství ČAV;Praha;80-200-0441-6;;;;81,00 Kč;BIOCHEMIE;12;;VOLNÁ;;;;;;;;OK;;
Biochemie 3;Vodrážka, Zdeněk;;Book;Katedra;19413;950147;KAT-1008;BC000019413-000010;191;1;1993;Academia,nakladatelství ČAV;Praha;80-200-0471-8;;;;115,00 Kč;BIOCHEMIE;12;;VOLNÁ;;;;;;;;OK;;
Biomechanika: Vysokoškolská učebnice;Valenta, J.;;Book;Katedra;13063;870036;KAT-1009;BC000013063-000010;539;1;1985;Academia,nakladatelství ČAV;Praha;;;;;0,00 Kč;BIOFYZIKA;;;JEŽEK, FILIP;20.10.2010;;;;;;;;;
Databázové systémy;Scheber A.;;Book;Katedra;10493;890069;KAT-1010;BC000010493-000020;321;1;1988;SNTL;Praha;;;;;0,00 Kč;DATABÁZE;;;VOLNÁ;;;;;;;;OK;;
Databázové systémy;Tsichritis, D. C.;Lochovsky, F. H.;Book;Katedra;93583;871408;KAT-1011;BC000011695-000040;383;1;1987;SNTL;Praha;;;;;0,00 Kč;DATABÁZE;;;VOLNÁ;;;;;;;;OK;;
Design of Probabilistic Models for Text Input Correction - I.;Novák, Antonín;;Book;Katedra;;;KAT-1012;;52;1;2013;Czech Technical University in Prague;Praha;;;;;;;s CD;;VOLNÁ;;;;;;;;;;
Foudations of Informations Theory;Fienstein, A.;;Book;Katedra;;621206;KAT-1013;731140-10;;;1958;McGraw-Hill, Publishing Comp.;USA;;;;;0,00 Kč;;12;;VOLNÁ;;;;;;;;OK;;
Fuzzy Logic with Engineering Applications;Ross, T.J.;;Book;Katedra;689467;280758;KAT-1014;3102030425;628;1;2004;John Wiley & Sons;USA;0-470-86075-8;;;;1400,656 Kč;matematická logika, fuzzy logika;;;VOLNÁ;;;;;;;;;;
Geometry of Locally Finite Spaces;Kovalevsky, V.A.;;Book;Katedra;689462;280755;KAT-1015;3102030422;330;1;2008;;DE;978-3-9812252-0-4;;;;1308 Kč;algoritmizace, topologie;;;VOLNÁ;;;;;;;;;;
Hemodialyzačná liečba v praxi;Kováč, Alexander;;Book;Katedra;19422;950156;KAT-1016;BC000019422-000010;320;1;1993;Osveta, Vydavatel´stvo, Martin;Slovensko;80-217-0510-8;;;;85,00 Kč;LÉKAŘSTVÍ;12;;VOLNÁ;;;;;;;;OK;;
Image Pattern Recognition;Kovalevsky V. A.;;Book;Katedra;23309;810193;KAT-1017;BC000023309-000010;2241;1;1980;Springer-Verlag;USA;3-540-90440-9;;;;420,00 Kč;ROZPOZNÁVÁNÍ OBRAZ;;;VOLNÁ;;;;;;;;OK;;
Imunitní systém a jeho fyziologické funkce;Šterzl, Jaroslav;;Book;Katedra;19421;950155;KAT-1018;BC000019421-000010;480;1;1993;Česká imunologická společnost-ČIS, Praha;CZ;;;;;280,00 Kč;LÉKAŘSTVÍ;12;;VOLNÁ;;;;;;;;OK;;
Induktivnaja logika i formirovanije naučnogo znanija;;;Book;Katedra;11485;871414;KAT-1019;BC000011485-000010;183;1;1987;Vydavatelství USSR;USSR;;;;;0,00 Kč;UMĚLÁ INTELIGENCE, LOGIKA;12;;VOLNÁ;;;;;;;;OK;;
Informatika v klinické praxi pro lékaře a klinické biology;Berger, Josef;;Book;Katedra;18100;931360;KAT-1020;BC000018100-000010;418;1;1993;Grada Publishing;CZ;80-85623-78-1;;;;290,00 Kč;INFORMATIKA, POČÍTAČE, LÉKAŘSTVÍ, LÉKAŘSTVÍ;;;VOLNÁ;;;;;;;;OK;;
Informační teorie psychiky;Dragomirecký, Andrej;;Book;Katedra;19424;950158;KAT-1021;BC000019424-000010;136;1;1994;Stratos nakladatelství, Praha;CZ;80-900309-3-9;;;;49,00 Kč;psychologie ps, PSYCHOLOGIE, INFORMATIKA;12;;VOLNÁ;;;;;;;;OK;;
Kompendium lékařské psychologie: Pro studující a lékaře;Feldman, Harald;Brand-Jacob, Johannes, Gmür, Mario;Book;Katedra;19512;950252;KAT-1022;BC000019512-000010;205;1;1994;Victoria Publishing,a.s. Praha;CZ;80-85605-67-8;;;;90,00 Kč;LÉKAŘSTVÍ, PSYCHOLOGIE;12;;VOLNÁ;;;;;;;;OK;;
Logika prvého rádu;Smullyan Raymond M.;;Book;Katedra;20985;801796;KAT-1023;BC000020985-000010;212;1;1979;ALFA, Bratislava + SNTL/SPN Praha;Slovennsko;;;;;0,00 Kč;LOGIKA MATEMATICKÁ;;;ŽELEZNÝ, FILIP;27.11.2007;;;;;;;;;
