Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;FormType;IntStatus;Extra3;Extra4;Extra5;StsCheck;StsUK;
Kybernetika;Ashby, Ross W.;;Book;;;610829;KAT-0001 (610829);28498-60;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Možet-li mašina myslit ?;Turing, Alan;;Book;;;611003;KAT-0002 (611003);11651-20;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Kybernetika;Poletajev, J.A.;;Book;;;611769;KAT-0003 (611769);731207-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Kybernetika a společnost;Wiener, Norbert;;Book;;;630645;KAT-0004 (630645);263326-20;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Novyje glavy kibernetiki;Wiener, Norbert;;Book;;;630923;KAT-0005 (630923);49967-30;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Uvedenije v kinernetiku;Gluškov, V.M.;;Book;;;641427;KAT-0006 (641427);37912-20;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Dokonalý stratég aneb slabikář teorie strategických her;Williams, J.D.;;Book;;;661540;KAT-0007 (661540);16826-20;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Bionika;;;Book;;;661873;KAT-0008 (661873);;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Design for a brain;Ashby, Ross W.;;Book;;;662972;KAT-0009 (662972);731142-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Základy numerické matematiky;Děmidovič;Maron;Book;;;670859;KAT-0010 (670859);79547-120;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Learning Machines;Nilsson, Nils;;Book;;;680362;KAT-0011 (680362);731146-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
A-Č slovník - organizační a výpočetní technika;Vybíral, J.;Kazda ,J.;Book;;;691325;KAT-0012 (691325);660014-50;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Lecture notes in Mathematics: Colloquium on Methods of Optimization;Moiseev, N.N. (ed.);;Book;;;701089;KAT-0013 (701089);731147-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
System Theory and Biology - Proceedings;Mesarovič, M.D. (ed.);;Book;;;710842;KAT-0014 (710842);731148-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Adaptive, Learning and Pattern Recognition Systems;Mendel, J.M. (ed.);Fu, K.S.;Book;;;711386;KAT-0015 (711386);19445-20;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Sbírka úloh teorie pravděpodobnosti, matematické statistiky a teorie náhodných funkcí;Svešnikov, A.A.;;Book;;;711784;KAT-0016 (711784);17936-450;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Logika, automaty a algoritmy;Ajzerman, M.A.;;Book;;;711787;KAT-0017 (711787);36557-40;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Poslední metody v razpoznavaniji obrazov;Fu, K.S.;;Book;;;711863;KAT-0018 (711863);;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Theory of Hierarchical, Multilevel Systems;Mesarovic M.D.;Macko D., Takahara Y.;Book;;;712416;KAT-0019 (712416);39719-30;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Process Analysis by Statistical Methods;Himmelblau, D.;;Book;;;720744;KAT-0020 (720744);;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Identification of Distributed Systems;Phillipson G. A.;;Book;;;720885;KAT-0021 (720885);731149-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Systemy evist. samoorganizovanija v tech. kib.;Ivachněnko;;Book;;;720933;KAT-0022 (720933);34558-20;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Methodologies of pattern recognition;Watanabe, S. (ed.);;Book;;;721661;KAT-0023 (721661);;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
The management of learning;Davies, I.;;Book;;;722113;KAT-0024 (722113);731151-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Metody rozpoznavanija a ich primenenije;Zagorujko N.F.;;Book;;;722655;KAT-0025 (722655);731152-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
System indentification;Sage A.,;Melsa J.;Book;;;722769;KAT-0026 (722769);731153-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Speech Analysis, Synthesis and Perception;Flanagan J.L.;;Book;;;730620;KAT-0027 (730620);731154-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Information Theory;Young J.;;Book;;;730717;KAT-0028 (730717);731155-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
Biokybernetics - Volume IV;Drischel, H. (ed.);Dettmar, P.;Book;;;731888;KAT-0029 (731888);731156-10;;;;;;;;;;;;12;;;;;;WriteOff;;;;OK;;
