Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;Extra1;Extra2;Extra3;Extra4;Extra5;StsCheck;StsUK;
AgentLink News;;;Journal;Katedra;;;KAT-JRNL-0001;;;1. vydání;;;GB;1465-3842;11,12,13;;;;;;;VOLNÁ;;;;;;;;;;
IEEE - Information Theory Vol.11;;;Journal;Katedra;;;KAT-JRNL-0002;;;;1965;The Institute of Electrical and Electronics Engineers (IEEE);USA;0018-9448;1-4;11;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
IEEE - Information Theory Vol.14;;;Journal;Katedra;;;KAT-JRNL-0003;;;;1968;The Institute of Electrical and Electronics Engineers (IEEE);USA;0018-9448;2;14;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Pattern Recognition Vol.005;;;Journal;Katedra;;;KAT-JRNL-0004;;;;1973;Elsevier Science Publishing Co.;Great Britain;0031-3203;1-4;5;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Pattern Recognition Vol.006;;;Journal;Katedra;;;KAT-JRNL-0005;;;;1974;Elsevier Science Publishing Co.;Great Britain;0031-3203;3/4;6;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Artificial intelligence Vol.005, no. 4;;;Journal;Katedra;;760424;KAT-JRNL-0006;;;;1974;Elsevier Science Publishing Co.;Scotland;;4;5;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Artificial intelligence Vol.005, no. 3;;;Journal;Katedra;;760423;KAT-JRNL-0007;;;;1974;Elsevier Science Publishing Co.;Scotland;;3;5;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Artificial intelligence Vol.005, no. 2;;;Journal;Katedra;;760422;KAT-JRNL-0008;;;;1974;Elsevier Science Publishing Co.;Scotland;;2;5;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Artificial intelligence Vol.005, no. 1;;;Journal;Katedra;;760421;KAT-JRNL-0009;;;;1974;Elsevier Science Publishing Co.;Scotland;;1;5;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Pattern Recognition Vol.007;;;Journal;Katedra;;;KAT-JRNL-0010;;;;1975;Elsevier Science Publishing Co.;Great Britain;0031-3203;1,2,4;7;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Pattern Recognition Vol.008;;;Journal;Katedra;;769602;KAT-JRNL-0011;;;;1976;Elsevier Science Publishing Co.;Great Britain;0031-3203;2-4;8;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Pattern Recognition Vol.009;;;Journal;Katedra;;7710285;KAT-JRNL-0012;;;;1977;Elsevier Science Publishing Co.;Great Britain;0031-3203;1-4;9;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Artificial Intelligence Vol.009;;;Journal;Katedra;;;KAT-JRNL-0013;;;;1977;Elsevier Science Publishing Co.;The Netherlands;0004-3702;2;9;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Pattern Recognition Vol.010;;;Journal;Katedra;;7810734;KAT-JRNL-0014;;;;1978;Elsevier Science Publishing Co.;Great Britatin;0031-3203;1-6;10;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
IEEE - Systems,Man and Cybernetics Vol.08;;;Journal;Katedra;;7810742;KAT-JRNL-0015;;;;1978;The Institute of Electrical and Electronics Engineers (IEEE);USA;0018-9472;2,7,10-12;8;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
Pattern Recognition Vol.11;;;Journal;Katedra;;7911323;KAT-JRNL-0016;;;;1979;Elsevier Science Publishing Co.;Great Britatin;0031-3203;1-6;11;;0,00 Kč;;;;VOLNÁ;;;;;;;;;;
