Nazev;Autor;Spoluautori;DruhPublikace;Deponovano;SystemoveCislo;EvidencniCisloFEL;EvidencniCisloOddeleni;CarovyKod;PocetStran;Vydani;RokVydani;Vydavatel;ZemeVydani;ISBNorISSN;CisloCasopisu;RocnikCasopisu;Konference;Cena;KlicovaSlova;Poznamka;Vlozeno;ZapujcenoKomu;ZapujcenoOd;ZapujcenoDo;Extra1;Extra2;Extra3;Extra4;Extra5;StsCheck;StsUK;
Computer Vision and Image Understanding Vol.115;;;Journal;CMP;;;CMP-J0001;;;;2011;;;1077-3142;1,2,3,4,56,7,8,9,10,11,12;;;;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.29;;;Journal;CMP;;;CMP-J0002;;;;2011;Elsevier Academic Press;NL;0262-8856;1,2-3,4,5,6,7,8,9,10,11,12;;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.95;;;Journal;CMP;;;CMP-J0003;;;;2011;Springer-Verlag;;0920-5691;1,2,3;;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.91;;;Journal;CMP;;;CMP-J0004;;;;2011;Springer-Verlag;;0920-5691;1,2,3,;91;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.92;;;Journal;CMP;;;CMP-J0005;;;;2011;Springer-Verlag;;0920-5691;2,3;92;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.93;;;Journal;CMP;;;CMP-J0006;;;;2011;Springer-Verlag;;0920-5691;1,2,3;93;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.94;;;Journal;CMP;;;CMP-J0007;;;;2011;Springer-Verlag;;0920-5691;1,2,3;;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.114;;;Journal;CMP;;;CMP-J0008;;;;2010;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2,3,4,5,6,7,8,9,10,11,12;114;;;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.28;;;Journal;CMP;;;CMP-J0009;;;;2010;Elsevier Science Publishing Co.;NL;0262-8856;1-2,3-4,5,6,7,8,9,10,11,12;28;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.86;;;Journal;CMP;;;CMP-J0010;;;;2010;Springer-Verlag;USA;0920-5691;1,2,3;86;;;;Umístění odd. CMP, lokální knihovna - deponováno;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.87;;;Journal;CMP;;;CMP-J0011;;;;2010;Springer-Verlag;USA;0920-5691;1,2,3;87;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.88;;;Journal;CMP;;;CMP-J0012;;;;2010;Springer-Verlag;USA;0920-5691;1,2,3;88;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.89;;;Journal;CMP;;;CMP-J0013;;;;2010;Springer-Verlag;;0920-5691;1,2,3.;89;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.90;;;Journal;CMP;;;CMP-J0014;;;;2010;Springer-Verlag;;0920-5691;1,2,3;90;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.113;;;Journal;CMP;;;CMP-J0015;;;;2009;Elsevier Science Publishing Co.;Holandsko;1077-3142;1,2,3,5,4,6,7,8,9,10,2x11;113;;;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.27;;;Journal;CMP;;;CMP-J0016;;;;2009;Elsevier Science Publishing Co.;NL;0262-8856;1-2,3,4,5,6,7,8,9,10,11,12;27;;;;;;VOLNÁ;;;;;;;;;;
Inter.Journal of Computer Vision Vol.82;;;Journal;CMP;;;CMP-J0017;;;;2009;Springer-Verlag;DE;0920-5691;2;82;;;;;;VOLNÁ;;;;;;;;;;
Inter.Journal of Computer Vision Vol.84;;;Journal;CMP;;;CMP-J0018;;;;2009;Springer-Verlag;USA;0920-5691;1;84;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.81;;;Journal;CMP;;;CMP-J0019;;;;2009;Springer-Verlag;USA;0920-5691;1,2,3;81;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.82;;;Journal;CMP;;;CMP-J0020;;;;2009;Springer-Verlag;USA;0920-5691;1,2,3;82;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.83;;;Journal;CMP;;;CMP-J0021;;;;2009;Springer-Verlag;USA;0920-5691;1,2,3;;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.84;;;Journal;CMP;;;CMP-J0022;;;;2009;Springer-Verlag;USA;0920-5691;1,2,3;;;;;;;VOLNÁ;;;;;;;;;;
International Journal of Computer Vision Vol.85;;;Journal;CMP;;;CMP-J0023;;;1. vydání;2009;Springer-Verlag;DE;0920-5691;1,2,3;85;;;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.109;;;Journal;CMP;661040;290201;CMP-J0024;661040-1410;;1. vydání;2008;Elsevier Academic Press;NL;1077-3142;1,2,3;109;;12183,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.110;;;Journal;CMP;661040;290202;CMP-J0025;661040-1420;;;2008;Elsevier Academic Press;NL;1077-3142;1,2;110;;12783,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.111;;;Journal;CMP;661040;290203;CMP-J0026;661040-1430;;1. vydání;2008;Elsevier Academic Press;NL;1077-3142;1,2,3;111;;12783,75 Kč;;;;VOLNÁ;;;;;;;;;;
Computer Vision and Image Understanding Vol.112;;;Journal;CMP;661040;290204;CMP-J0027;661040-1440;;1. vydání;2008;Elsevier Academic Press;Holandsko;1077-3142;1,2,3;112;;12783,75 Kč;;;;VOLNÁ;;;;;;;;;;
Image and Vision Computing Vol.26;;;Journal;CMP;661177;290220;CMP-J0028;661177-1120;;1. vydání;2008;Elsevier Academic Press;NL;0262-8856;1,2,3,4,5,6,7,8,9,10,11,12;26;;41954,90 Kč;;;;VOLNÁ;;;;;;;;;;
